"strategy","action","entry_time","result_10min","pnl_value"
"UTBOT2-5","Sell","2025-10-01 04:18:02","WIN",50
"Range Filter5","Sell","2025-10-01 04:20:02","WIN",50
"Rang Fillter WR","Sell","2025-10-01 04:25:02","WIN",50
"MWP-31","Sell","2025-10-01 04:30:05","LOSE",-50
"SuperTrend9","Buy","2025-10-01 04:37:02","LOSE",-50
"MWP10-1m","Buy","2025-10-01 04:38:02","LOSE",-50
"SuperTrend9","Sell","2025-10-01 04:48:02","WIN",50
"Range FRAMA100-3","Sell","2025-10-01 04:49:01","WIN",50
"MWP10-1m","Sell","2025-10-01 04:53:01","LOSE",-50
"SuperTrend10","Sell","2025-10-01 04:59:01","WIN",50
"MWP20-3m","Sell","2025-10-01 05:00:06","LOSE",-50
"SuperTrend9","Buy","2025-10-01 05:03:02","LOSE",-50
"MWP10-1m","Buy","2025-10-01 05:04:02","LOSE",-50
"SuperTrend9","Sell","2025-10-01 05:09:01","WIN",50
"MWP10-1m","Sell","2025-10-01 05:11:02","WIN",50
"MWP10-1m","Buy","2025-10-01 05:50:01","LOSE",-50
"SuperTrend9","Buy","2025-10-01 05:50:01","LOSE",-50
"SuperTrend9","Sell","2025-10-01 05:58:02","WIN",50
"MWP10-1m","Sell","2025-10-01 05:59:02","WIN",50
"MWP10-1m","Buy","2025-10-01 06:22:01","WIN",50
"SuperTrend9","Buy","2025-10-01 06:22:01","WIN",50
"Range FRAMA100-3","Buy","2025-10-01 06:25:02","LOSE",-50
"MWP-31","Buy","2025-10-01 06:25:02","LOSE",-50
"UTBOT2-5","Buy","2025-10-01 06:27:03","LOSE",-50
"MWP10-1m","Sell","2025-10-01 06:34:02","LOSE",-50
"SuperTrend9","Sell","2025-10-01 06:34:02","LOSE",-50
"SuperTrend9","Buy","2025-10-01 06:43:01","WIN",50
"MWP10-1m","Buy","2025-10-01 06:46:02","WIN",50
"MWP20-3m","Buy","2025-10-01 07:03:02","WIN",50
"Range Filter5","Buy","2025-10-01 07:05:03","LOSE",-50
"Rang Fillter WR","Buy","2025-10-01 07:05:03","LOSE",-50
