"id","action","symbol","strategy","tf","entry_time","entry_price","order_value","order_interval","price_10min","price_10min_ts","price_30min","price_30min_ts","price_60min","price_60min_ts","price_1day","price_1day_ts","result_10min","result_30min","result_60min","result_1day","pnl","created_at","updated_at","trade","martingale","signal_time"
1674,"FlowTrend Bearish + Sell+","BTCUSDT","MWP-27","1","2025-09-04 19:32:03",110816.76608696,0,0,110558.0423913,"2025-09-04 19:42:05",110865.16456522,"2025-09-04 20:02:05",110743.76565217,"2025-09-04 20:32:05",0,,"WIN","LOSE","WIN",,0,"2025-09-04 19:32:03","2025-09-04 20:32:05",FALSE,FALSE,
1675,"Sell","BTCUSDT","MWP-27","1","2025-09-04 19:32:03",110816.76608696,0,0,110559.71108696,"2025-09-04 19:42:05",110865.16456522,"2025-09-04 20:02:05",110743.76565217,"2025-09-04 20:32:05",0,,"WIN","LOSE","WIN",,0,"2025-09-04 19:32:03","2025-09-04 20:32:05",FALSE,FALSE,
1676,"FlowTrend Bearish + Sell+","BTCUSDT","MWP-25","1","2025-09-04 19:32:03",110816.76608696,0,0,110559.71108696,"2025-09-04 19:42:05",110865.16456522,"2025-09-04 20:02:05",110743.76565217,"2025-09-04 20:32:05",0,,"WIN","LOSE","WIN",,0,"2025-09-04 19:32:03","2025-09-04 20:32:05",FALSE,FALSE,
1677,"Sell","BTCUSDT","MWP-25","1","2025-09-04 19:32:03",110816.76608696,0,0,110558.0423913,"2025-09-04 19:42:05",110865.16456522,"2025-09-04 20:02:05",110743.76565217,"2025-09-04 20:32:05",0,,"WIN","LOSE","WIN",,0,"2025-09-04 19:32:03","2025-09-04 20:32:05",FALSE,FALSE,
1678,"Sell","BTCUSDT","MWP-30","1","2025-09-04 19:33:03",110695.55695652,0,0,110593.62913043,"2025-09-04 19:43:05",110859.33804348,"2025-09-04 20:03:05",110784.0073913,"2025-09-04 20:33:05",0,,"WIN","LOSE","LOSE",,0,"2025-09-04 19:33:03","2025-09-04 20:33:05",FALSE,FALSE,
1679,"FlowTrend Bearish + Sell+","BTCUSDT","MWP-30","1","2025-09-04 19:33:03",110695.55695652,0,0,110593.62913043,"2025-09-04 19:43:05",110859.33804348,"2025-09-04 20:03:05",110784.0073913,"2025-09-04 20:33:05",0,,"WIN","LOSE","LOSE",,0,"2025-09-04 19:33:03","2025-09-04 20:33:05",FALSE,FALSE,
1680,"Sell","BTCUSDT","Range Filter5","5","2025-09-04 19:40:04",110654.69608696,0,0,110741.23782609,"2025-09-04 19:50:04",110880.03326087,"2025-09-04 20:10:06",110587.80869565,"2025-09-04 20:40:06",0,,"LOSE","LOSE","WIN",,0,"2025-09-04 19:40:04","2025-09-04 20:40:06",FALSE,FALSE,
1681,"Buy","BTCUSDT","UT-BOT2-10","1","2025-09-04 19:50:03",110741.23347826,0,0,110938.8673913,"2025-09-04 20:00:05",110842.34847826,"2025-09-04 20:20:05",110424.78304348,"2025-09-04 20:50:05",0,,"WIN","WIN","LOSE",,0,"2025-09-04 19:50:03","2025-09-04 20:50:05",FALSE,FALSE,
1682,"Buy","BTCUSDT","MWP-20","1","2025-09-04 19:58:04",110905.5923913,0,0,110891.87043478,"2025-09-04 20:08:05",110734.15586957,"2025-09-04 20:28:05",110541.945,"2025-09-04 20:58:05",0,,"LOSE","LOSE","LOSE",,0,"2025-09-04 19:58:04","2025-09-04 20:58:05",FALSE,FALSE,
1683,"FlowTrend Bullish + Buy+","BTCUSDT","MWP-20","1","2025-09-04 19:58:04",110905.5923913,0,0,110891.87043478,"2025-09-04 20:08:05",110734.15586957,"2025-09-04 20:28:05",110541.945,"2025-09-04 20:58:05",0,,"LOSE","LOSE","LOSE",,0,"2025-09-04 19:58:04","2025-09-04 20:58:05",FALSE,FALSE,
1684,"Sell","BTCUSDT","Range FRAMA3","1","2025-09-04 20:15:04",110779.48,0,0,110715.23978261,"2025-09-04 20:25:05",110586.01695652,"2025-09-04 20:45:05",109828.32652174,"2025-09-04 21:15:05",0,,"WIN","WIN","WIN",,0,"2025-09-04 20:15:04","2025-09-04 21:15:05",FALSE,FALSE,
