"id","action","symbol","strategy","tf","entry_time","entry_price","order_value","order_interval","price_10min","price_10min_ts","price_30min","price_30min_ts","price_60min","price_60min_ts","price_1day","price_1day_ts","result_10min","result_30min","result_60min","result_1day","pnl","created_at","updated_at","trade","martingale","signal_time"
3779,"FlowTrend Bearish + Sell+","BTCUSDT","MWP-30","1","2025-09-11 14:01:07",114251.73717391,0,0,114078.51717391,"2025-09-11 14:11:08",114062.53913043,"2025-09-11 14:31:09",114041.93543478,"2025-09-11 15:01:09",0,,"WIN","WIN","WIN",,0,"2025-09-11 14:01:07","2025-09-11 15:01:09",FALSE,FALSE,
3780,"Sell","BTCUSDT","Range Filter5","5","2025-09-11 14:10:05",114050.16934783,0,0,114017.53543478,"2025-09-11 14:20:06",114088.425,"2025-09-11 14:40:05",114126.93434783,"2025-09-11 15:10:06",0,,"WIN","LOSE","LOSE",,0,"2025-09-11 14:10:05","2025-09-11 15:10:06",FALSE,FALSE,
3781,"Buy","BTCUSDT","UT-BOT2-10","1","2025-09-11 14:38:03",114110.24565217,0,0,114146.04108696,"2025-09-11 14:48:04",114073.53217391,"2025-09-11 15:08:05",114134.64804348,"2025-09-11 15:38:05",0,,"WIN","LOSE","WIN",,0,"2025-09-11 14:38:03","2025-09-11 15:38:05",FALSE,FALSE,
3782,"Buy","BTCUSDT","MWP-20","1","2025-09-11 14:38:03",114110.24565217,0,0,114146.04108696,"2025-09-11 14:48:04",114073.53217391,"2025-09-11 15:08:04",114134.64804348,"2025-09-11 15:38:05",0,,"WIN","LOSE","WIN",,0,"2025-09-11 14:38:03","2025-09-11 15:38:05",FALSE,FALSE,
3783,"Buy","BTCUSDT","MWP-27","1","2025-09-11 14:42:03",114166.0523913,0,0,114029.26565217,"2025-09-11 14:52:05",114148.19130435,"2025-09-11 15:12:04",114121.49043478,"2025-09-11 15:42:04",0,,"LOSE","LOSE","LOSE",,0,"2025-09-11 14:42:03","2025-09-11 15:42:04",FALSE,FALSE,
3784,"Buy","BTCUSDT","MWP-25","1","2025-09-11 14:42:03",114166.0523913,0,0,114029.26565217,"2025-09-11 14:52:05",114148.19130435,"2025-09-11 15:12:04",114121.49043478,"2025-09-11 15:42:04",0,,"LOSE","LOSE","LOSE",,0,"2025-09-11 14:42:03","2025-09-11 15:42:04",FALSE,FALSE,
3785,"FlowTrend Bullish + Buy+","BTCUSDT","MWP-27","1","2025-09-11 14:42:03",114166.0523913,0,0,114029.26565217,"2025-09-11 14:52:05",114148.19130435,"2025-09-11 15:12:04",114121.49043478,"2025-09-11 15:42:04",0,,"LOSE","LOSE","LOSE",,0,"2025-09-11 14:42:03","2025-09-11 15:42:04",FALSE,FALSE,
3786,"FlowTrend Bullish + Buy+","BTCUSDT","MWP-25","1","2025-09-11 14:42:04",114166.0523913,0,0,114029.26565217,"2025-09-11 14:52:05",114148.19130435,"2025-09-11 15:12:04",114121.49043478,"2025-09-11 15:42:04",0,,"LOSE","LOSE","LOSE",,0,"2025-09-11 14:42:04","2025-09-11 15:42:04",FALSE,FALSE,
3787,"FlowTrend Bullish + Buy+","BTCUSDT","MWP-30","1","2025-09-11 14:43:03",114185.02456522,0,0,114027.04891304,"2025-09-11 14:53:05",114171.34695652,"2025-09-11 15:13:04",114108.84125,"2025-09-11 15:43:05",0,,"LOSE","LOSE","LOSE",,0,"2025-09-11 14:43:03","2025-09-11 15:43:05",FALSE,FALSE,
3788,"Buy","BTCUSDT","MWP-30","1","2025-09-11 14:43:03",114185.02456522,0,0,114027.04891304,"2025-09-11 14:53:05",114171.34695652,"2025-09-11 15:13:04",114108.84125,"2025-09-11 15:43:05",0,,"LOSE","LOSE","LOSE",,0,"2025-09-11 14:43:03","2025-09-11 15:43:05",FALSE,FALSE,
3789,"Sell","BTCUSDT","UT-BOT2-10","1","2025-09-11 14:49:04",114116.09913043,0,0,114089.265,"2025-09-11 14:59:06",114130.16586957,"2025-09-11 15:19:04",114107.83130435,"2025-09-11 15:49:06",0,,"WIN","LOSE","WIN",,0,"2025-09-11 14:49:04","2025-09-11 15:49:06",FALSE,FALSE,
3790,"Sell","BTCUSDT","Range FRAMA3-99","1","2025-09-11 14:50:04",114080.53369565,0,0,114081.28586957,"2025-09-11 15:00:06",114115.13630435,"2025-09-11 15:20:06",114057.21630435,"2025-09-11 15:50:06",0,,"LOSE","LOSE","WIN",,0,"2025-09-11 14:50:04","2025-09-11 15:50:06",FALSE,FALSE,
3791,"Sell","BTCUSDT","Range FRAMA3","1","2025-09-11 14:50:04",114080.53369565,0,0,114081.28586957,"2025-09-11 15:00:06",114115.13630435,"2025-09-11 15:20:05",114057.21130435,"2025-09-11 15:50:07",0,,"LOSE","LOSE","WIN",,0,"2025-09-11 14:50:04","2025-09-11 15:50:07",FALSE,FALSE,
3792,"Sell","BTCUSDT","MWP-20","1","2025-09-11 14:50:04",114080.53369565,0,0,114081.28586957,"2025-09-11 15:00:06",114115.13630435,"2025-09-11 15:20:06",114057.21130435,"2025-09-11 15:50:07",0,,"LOSE","LOSE","WIN",,0,"2025-09-11 14:50:04","2025-09-11 15:50:07",FALSE,FALSE,
3793,"FlowTrend Bearish + Sell","BTCUSDT","MWP-25","1","2025-09-11 14:51:04",114047.28391304,0,0,114033.34065217,"2025-09-11 15:01:05",114123.09956522,"2025-09-11 15:21:05",114063.43108696,"2025-09-11 15:51:05",0,,"WIN","LOSE","LOSE",,0,"2025-09-11 14:51:04","2025-09-11 15:51:05",FALSE,FALSE,
3794,"Sell","BTCUSDT","MWP-25","1","2025-09-11 14:51:04",114047.28391304,0,0,114033.34065217,"2025-09-11 15:01:05",114123.09956522,"2025-09-11 15:21:05",114063.43108696,"2025-09-11 15:51:05",0,,"WIN","LOSE","LOSE",,0,"2025-09-11 14:51:04","2025-09-11 15:51:05",FALSE,FALSE,
3795,"FlowTrend Bearish + Sell","BTCUSDT","MWP-27","1","2025-09-11 15:05:03",114014.86173913,0,0,114138.54717391,"2025-09-11 15:15:05",114167.19217391,"2025-09-11 15:35:05",114014.48630435,"2025-09-11 16:05:05",0,,"LOSE","LOSE","WIN",,0,"2025-09-11 15:05:03","2025-09-11 16:05:05",FALSE,FALSE,
3796,"Sell","BTCUSDT","MWP-27","1","2025-09-11 15:05:03",114014.86173913,0,0,114138.54717391,"2025-09-11 15:15:05",114167.19217391,"2025-09-11 15:35:05",114014.48630435,"2025-09-11 16:05:05",0,,"LOSE","LOSE","WIN",,0,"2025-09-11 15:05:03","2025-09-11 16:05:05",FALSE,FALSE,
